Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 272115 facts in 1.80 s using 788 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  /award/award_winner/awards_won./award/award_honor/award_winner  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.13740458	0.002137006	0.111801242	18	8423	161	?b
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?b   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.145038168	0.002255728	0.131944444	19	8423	144	?b
?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.015267176	0.012048193	0.285714286	2	166	7	?b
?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.824427481	0.824427481	0.939130435	108	131	115	?b
?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b   => ?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b	0.015267176	0.012048193	0.25	2	166	8	?b
?b  /people/person/sibling_s./people/sibling_relationship/sibling  ?a   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.012048193	0.015267176	0.5	2	131	4	?b
?b  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.036144578	0.00397088	0.206896552	6	1511	29	?b
?b  /influence/influence_node/peers./influence/peer_relationship/peers  ?a   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.78313253	0.78313253	0.860927152	130	166	151	?b
?a  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?b   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.036144578	0.00397088	0.222222222	6	1511	27	?b
?a  /people/person/sibling_s./people/sibling_relationship/sibling  ?b   => ?a  /influence/influence_node/peers./influence/peer_relationship/peers  ?b	0.012048193	0.015267176	0.4	2	131	5	?b
?a  /film/film/film_production_design_by  ?b   => ?a  /film/film/edited_by  ?b	0.033519553	0.037974684	0.2	6	158	30	?a
?b  /film/director/film  ?a   => ?a  /film/film/edited_by  ?b	0.173184358	0.036088475	0.246031746	31	859	126	?a
?a  /film/film/story_by  ?b   => ?a  /film/film/edited_by  ?b	0.039106145	0.017766497	0.184210526	7	394	38	?a
?a  /film/film/produced_by  ?b   => ?a  /film/film/edited_by  ?b	0.111731844	0.015564202	0.117647059	20	1285	170	?a
?a  /film/film/costume_design_by  ?b   => ?a  /film/film/edited_by  ?b	0.016759777	0.015625	0.107142857	3	192	28	?a
?a  /film/film/written_by  ?b   => ?a  /film/film/edited_by  ?b	0.167597765	0.038119441	0.3125	30	787	96	?a
?a  /film/film/executive_produced_by  ?b   => ?a  /film/film/edited_by  ?b	0.044692737	0.012084592	0.101265823	8	662	79	?a
?a  /film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium  ?b   => ?a  /film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium  ?b	0.2	0.039888034	0.393103448	57	1429	145	?a
?b  /education/field_of_study/students_majoring./education/education/major_field_of_study  ?a   => ?a  /education/field_of_study/students_majoring./education/education/major_field_of_study  ?b	0.822157434	0.822157434	0.826979472	282	343	341	?a
?a  /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location  ?b   => ?a  /organization/organization/headquarters./location/mailing_address/country  ?b	0.087912088	0.046376812	0.571428571	16	345	28	?a
?b  /location/location/contains  ?a   => ?a  /organization/organization/headquarters./location/mailing_address/country  ?b	0.565934066	0.019803884	0.362676056	103	5201	284	?a
?a  /film/film/film_art_direction_by  ?b   => ?a  /film/film/film_production_design_by  ?b	0.012658228	0.01980198	0.333333333	2	101	6	?a
?a  /film/film/costume_design_by  ?b   => ?a  /film/film/film_production_design_by  ?b	0.050632911	0.041666667	0.228571429	8	192	35	?a
?a  /film/film/edited_by  ?b   => ?a  /film/film/film_production_design_by  ?b	0.037974684	0.033519553	0.2	6	179	30	?a
?a  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?b   => ?a  /film/film/film_production_design_by  ?b	0.208860759	0.011029412	0.12267658	33	2992	269	?a
?b  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?a   => ?a  /film/film/film_production_design_by  ?b	0.398734177	0.010036642	0.108433735	63	6277	581	?a
?a  /government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office  ?b   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.010899183	0.010526316	0.32	8	760	25	?b
?a  /organization/role/leaders./organization/leadership/organization  ?b   => ?a  /business/job_title/people_with_this_title./business/employment_tenure/company  ?b	0.166212534	0.161375661	0.586538462	122	756	208	?b
?b  /organization/organization/headquarters./location/mailing_address/citytown  ?a   => ?a  /sports/sports_team_location/teams  ?b	0.01510574	0.005868545	1	5	852	5	?b
?b  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?a   => ?a  /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months  ?b	0.833333333	0.833333333	0.833333333	90	108	108	?a
?a  /people/person/employment_history./business/employment_tenure/company  ?b   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.122641509	0.041139241	0.393939394	13	316	33	?a
?a  /people/person/nationality  ?b   => ?a  /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office  ?b	0.471698113	0.011913271	0.78125	50	4197	64	?a
?b  /location/location/contains  ?a   => ?a  /organization/organization/headquarters./location/mailing_address/state_province_region  ?b	0.497919556	0.069025187	0.333333333	359	5201	1077	?a
